comment_normalized	hate	spam	obscene	class
تصویری 💦 💦 🙌	0	1	1	spamobscene
 دایررکت بده 🍑	0	1	1	spamobscene
خانم دایرکتت 🍑 🍑	0	1	1	spamobscene
نفر تهراان بیاا 🍑	0	1	1	spamobscene
ریپم بیا دایرکت 🍑	0	1	1	spamobscene
تصویری هستمم 🍑 👣	0	1	1	spamobscene
لنتی 🍑 🍑 خیسم 👅	0	1	1	spamobscene
خیسم 🍑 🍑 بیاا 🍑	0	1	1	spamobscene
هوسی اونجام شده 🍑	0	1	1	spamobscene
حظورری استوزرریم 🍑	0	1	1	spamobscene
دارم پاارهت میشمم 🍑	0	1	1	spamobscene
خانم 🍑 🍑 استوری های	0	1	1	spamobscene
استتورریم بیااد گرووپ 🍑	0	1	1	spamobscene
🍑 🍑 یکی بیاد پیوی 🍑 🍑 😢	0	1	1	spamobscene
شوگر مامی بیاد دایرکتم 😢 😢	0	1	1	spamobscene
ددی شوگر منو بدین میخوام برم 🙌	0	1	1	spamobscene
چاک کی دوست داره خیسش کنم 🍑 🍑 👅	0	1	1	spamobscene
وضعیت 🍑	0	1	1	spamobscene
🍑 🍑 زندگی میکنم تهران خانم بیاد تنها 👅	0	1	1	spamobscene
تصویری واقعی 🍑 اندام و صدام میکنهه 🍑 🍑 😢	0	1	1	spamobscene
داغم نیست صبحی بیاد حال کنیم 🍑 🍑 داغ کسی 🍑	0	1	1	spamobscene
خانوم ککه لیسر ککم سن میخواد استوریمو ببینه 🍑	0	1	1	spamobscene
خونه دارم تهران تنها 🍑 🍑 میکنم خانم بیاد زندگی 👅	0	1	1	spamobscene
تصویری اگ کسی هست بده 🍑	0	1	1	spamobscene
برای ددرمان مشکلات ددایرکت بددین 🍑 🍑 😢	0	1	1	spamobscene
پسرها بیایید تو دختربازی پیجم یادبگیرید 🔥 🔥 💦	0	1	1	spamobscene
حال انواع 🍑	0	1	1	spamobscene
پایه تصویری 😢 😢 ام 🍑	0	1	1	spamobscene
دداستانی حرفه ای هست؟ 🍑	0	1	1	spamobscene
بزرگ میپسننده کسی بیاد 🍑 🍑 😢	0	1	1	spamobscene
تنهام از شوهرم جدا شدم تازه کسی هس؟ 🍑 🍑	0	1	1	spamobscene
هفده سالمه…فیلم استوریم 🍑	0	1	1	spamobscene
دووتاترنس معرفی کن 🍑	0	1	1	spamobscene
یکیم نیست براش تکون تکون بدیم 🍑	0	0	1	obscene
چت 🍑	0	1	1	spamobscene
عا‌‌خ 🍑	0	1	1	spamobscene
 بیاد روم 🍑	0	1	1	spamobscene
خیسم‌کررد 🍑 🍑	0	1	1	spamobscene
کرج دوستی دایرکت 🔥 💦	0	1	1	spamobscene
خودش میدونه بررمیگررده ایرران 🍑 باحجاب ررفته 🍑 🍑	0	1	1	spamobscene
 جوون زده باللا بزن 🍑 🍑 پایه ام	0	1	1	spamobscene
مودب اینجا یافت نمیشه؟همه اومدن بزنن؟ 🍑	0	1	1	spamobscene
نیاز به دوست پسر فوری دارم خیسه 🙂 💦 😈 🔥	0	1	1	spamobscene
کی ماشین تجربه کرده؟ 🍑	0	1	1	spamobscene
خانومما ببینید استوریممو 🍑	0	1	1	spamobscene
وااقعی اام 🍑	0	1	1	spamobscene
تصویری با شرایط 🔥 💦	0	1	1	spamobscene
حال تصویری 🔥 🔥 💦 💦	0	1	1	spamobscene
بریدد بیادد قربون کلفتم ددخترا 💦	0	1	1	spamobscene
 ساپورت میخخواام 🍑	0	1	1	spamobscene
دختتراا کی پایس الان بیاد؟؟ 🍑 🍑	0	1	1	spamobscene
یه مرد میخووام دووستی مجازی 🍑 🍑	0	1	1	spamobscene
 خخانم بیاد 🍑	0	1	1	spamobscene
 بیاا تو‌پیجم‌اانقدر بخند تاا غم هاات بره 🍑 🍑 😢	0	1	1	spamobscene
سن هاات داریم اینجاا؟؟ 🍑 🍑 😢	0	1	1	spamobscene
بیا ببینش 💦 ی دایرکت هات دخی 🔥	0	1	1	spamobscene
شهریار حضوری پیوی واقعی باشه 🙌 🙌 💦	0	1	1	spamobscene
ححضورر میخوام 🍑	0	1	1	spamobscene
کیی الان مییادص 🍑	0	1	1	spamobscene
 پیوی عکس ببدم 🍑	0	1	1	spamobscene
پسر هات 	0	1	1	spamobscene
روم بیفتین دمرم 🍑	0	1	1	spamobscene
تصویری زنده 🔥 خصیوصی دایرکت 🔥 اتیشیا سریع بیان برنامه داریم بدوو 🔥 خودت یکیش انتخاب کن 💦	0	1	1	spamobscene
من یک سینگل هستم برگام 😢 😢 🍑	0	1	1	spamobscene
فوتت 🍑	0	1	1	spamobscene
دکتتر کی 🍑	0	1	1	spamobscene
لیسسرم خانووما 🍑	0	1	1	spamobscene
استوریمو همه جواب بدین 🍑	0	1	1	spamobscene
🍑 تص وویری	0	1	1	spamobscene
شوگر 🙌	0	1	1	spamobscene
حال تصویری خیسم فول 💦 💦 🔥	0	1	1	spamobscene
خانووما کی دلش تلمبه میخوواد؟ 🍑 🍑	0	1	1	spamobscene
خانم وواسه الان میخووام تصوویری 🍑	0	1	1	spamobscene
تصویری واقعی 🔥 خیلی داغمم امشب 🔥 اخخ 💦 💦	0	1	1	spamobscene
خانوم افتادده استوریمو ببینه کم سنم 🍑	0	1	1	spamobscene
سااپورت ماالی میکنم 🍑	0	1	1	spamobscene
خیسم 💦 🔥 بیا	0	1	1	spamobscene
تصویری واقعی 🔥 اندام و صدام دیونت میکنهه 💦 💦	0	1	1	spamobscene
هاتیم پسر ددوتا خانم بیادد تهران مکان ددارم 💦 💦 🙌	0	1	1	spamobscene
تهران تهران بزرگو کلفتو ماشین داری بیا از خیلی 🍑	0	1	1	spamobscene
بهترینن روش وپزشک جهت ترمیم 🍑	0	1	1	spamobscene
کی سوپر میخاد 💦 براش بفرستتم 💦 🔥	0	1	1	spamobscene
کسی نمیخواد یکم به من کنه؟ 🍑 🍑	0	1	1	spamobscene
حظورریی پیش پول تو مکاان بدوون کررج 🍑	0	1	1	spamobscene
برده میششم 🍑	0	1	1	spamobscene
 به فامیل خانومت حس داری بیا دایرکت سوال بپرسم 💦 💦 🙌	0	1	1	spamobscene
 فقط براای دخترراا و خاانوماای تهراان 🍑	0	1	1	spamobscene
حشریا استوری ببینیدد نظر بددیدد 🍑	0	1	1	spamobscene
پسسرم یه دختر برا سسکسس از بابل پیوی 🍑	0	1	1	spamobscene
ییکیی بییاد به که بپاشونه داییرکتم سقف واسم 🍑	0	1	1	spamobscene
بچهه مسعودیهه شب جمعهه مسگر اباد سرخهه حصار 🍑	0	1	1	spamobscene
یه دختر بیاادد بحرر فیم صوو تی 🍑	0	1	1	spamobscene
تازه از شوهرم جدا شدم تنهام کسی هس؟ 💦 🔥	0	1	1	spamobscene
رفع تیرگی واژن با روش سجاد فوتوشاپی	1	0	1	hateobscene
خیسم 🔥 🔥 ببیا 💦	0	1	1	spamobscene
دختر یا خانوم از تهران میخوام مکانم دارم برای الان کسی هست ؟ 🍑	0	1	1	spamobscene
پست اخرم داغهه داغهه از 🔥 🔥 ندین دست 💦	0	1	1	spamobscene
 سااله هستم به دنباال پاارتنر براای ااولین راابطه بکاارت 🍑	0	1	1	spamobscene
تهرااندختری سااله هستم به دنباال پاارتنر براای راابطه بکاارت 🍑	0	1	1	spamobscene
از لای پام نمیتونم بخوابم 🍑	0	1	1	spamobscene
کییرم سیخه یکی بیاد 🔥 💦	0	1	1	spamobscene
پاره شدن دوسدارم کنه 🍑 🍑 شمارم مییتونه پارم کیی اشتورییه	0	1	1	spamobscene
استوری مخصوص اقایون مجرد و متاهل 🔥 🔥 💦 💦	0	1	1	spamobscene
 بیا تو‌پیجم‌انقدر بخند تا غم هات یادت بره 😁 😝 💦	0	1	1	spamobscene
ااقاای سن باالاا کسی هست گپ 🍑	0	1	1	spamobscene
نوش جونت توشو بزن خیس کن 💦	0	1	1	spamobscene
ی بیادد ددارم ماساژ میددمش 💦 🔥	0	1	1	spamobscene
برده مطیع میخام 🍑	0	1	1	spamobscene
دخترر از تهرر ان سا ررتش میکنم خوب 🍑	0	1	1	spamobscene
نچایی	1	0	0	hate
تصویری واقعی 🔥 بیا برات ناله کنم دیونهه شی 😈 💦 💦	0	1	1	spamobscene
ورزشکار سیینکل 💦 💦 🔥	0	1	1	spamobscene
است این اخر عاقبت پردین با شوگر ددی 😢 🙌	0	1	1	spamobscene
استوری ااخرشبی گذاشتم 🙌 🙌 💦	0	1	1	spamobscene
مرد حاشیه بی ساله کی میخواد؟خوش هیکل و خوش فیس 🍑	0	1	1	spamobscene
کییرم یکی بیاد 💦 💦 🔥	0	1	1	spamobscene
🔥 🔥 فول خیسم تصصویری 💦	0	1	1	spamobscene
ششبا میششد یکیو استخدام کنی فقط کاشش زنگ بزنه بهت باهاشش بخابی 😢 😢 🍑	0	1	1	spamobscene
استوری اخرشبی گذاشتم 🔥 💦	0	1	1	spamobscene
مستررم تنهام پاررتنرر مجازی با حس بیاد واقعی 💦 💦 🙌	0	1	1	spamobscene
نتش هرکی وصله بیاد 🙌 🙌 💦	0	1	1	spamobscene
یه مامان سن پسره کم که میخواد استوریمو‌ببینه 🍑 😢	0	1	1	spamobscene
یه مامان که پسره کم سن میخواد 🍑	0	1	1	spamobscene
هررکسی خودش یا مامانش میخواد شررکت تو با حقوق و مزایای بالاا استخدام شه پیام بده 🍑	0	1	1	spamobscene
دایرکت 💦 💦 زن دار که زنشون بهشون حال نمیده بیان مردای 🔥	0	1	1	spamobscene
اونجوری دارکوبی بزنی فقط 🔥 💦	0	0	1	obscene
💦 💦 کی بگیررمم که تنهاست جرشش بدمم 💦 💦 کی بگیررمم که تنهاست جرشش بدمم 💦 💦 🙌	0	1	1	spamobscene
از تتلیتی چه خبر زد توش برات 👌🏻 👉🏻 💦 💦	0	1	1	spamobscene
همین اان عکسشو استورری کرردم خانوما نظرر بدید ک ف ته 🍑	0	1	1	spamobscene
کی تنهاست که بگیررمم جرشش بدممکی تنهاست که بگیررمم جرشش بدمم 🍑	0	1	1	spamobscene
هر کیی دلشش کییر دررشت و ابداار مییخوواد داییررکت جررش بدمم 🍑	0	1	1	spamobscene
کن سام ددی 💦 گیو می بادی 🔥	0	1	1	spamobscene
ای یه شب برات این سس ا ک بزنه 💦 💦 🙌	0	1	1	spamobscene
کسی نمیخواد یکم به من توجه کنه؟ 💦 🔥	0	1	1	spamobscene
خ انم پ ا یه گ ر و پ بیاد تهرانیم دایرکتم 💦	0	1	1	spamobscene
جایزه دادنشوگرفته 🍆	0	0	1	obscene
ت ص وی ر ی 🔥 💦 س چ ت 🔥 💦	0	1	1	spamobscene
خ انم ا یه گ ر و بیاد دایرکتم تهرانیم 💦	0	1	1	spamobscene
اخوند هم ادم هس دیگه میتونه میکنه دنیا سری عشقه 💦 💦	0	0	1	obscene
🍑 🍑 🐨 🐼	0	1	1	spamobscene
ندا جون حرف حق رو زدی 😂 😍 👏 دمت گرم ب امید ازادی ک بیای پیشمون محکم بغلت کنیم بگیم دیدی شد 😢	0	0	0	clean
هزاران ارزوی زیبا از طرف خداوند برایتون بهترینها را ارزومندم 🤲 🕋 🤲 🌊 🥰 👑 🧿 🤴 🧿 👑 🥰 🌊 ❤ ❤ 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 🌼 🌼 ❤️ ❤️ ❤️ ❤️ 🌊 🌊 🥰 🥰 💚 💚 💦 💦 🌺 🌺 👑 👑	0	1	0	spam
پلنگ با غیرت مازندرانی افتخار ایران ❤️	0	0	0	clean
ماشالله پلنگ جویبار پهلون ما مردم ایران قلبی دوست داریم ♥️ ♥️ ♥️ ♥️	0	0	0	clean
خیلی عشقی ب مولاروانییتم پلنگ نا ارام مازندران 😍 😍	0	0	0	clean
ککانال سککسی تو پیجم 🍆 🍆	0	1	1	spamobscene
از اول پتانسیل دادنت بوده هر ککی موافقه لایکک ککنه بیاد تو پیجم بقیه داستان و بگم 🍆	0	1	1	spamobscene
اگه کوتاهی الت داری بیا تو پیجم	0	1	1	spamobscene
حسن جان شما تخمش هم داری 💙 💙 🌹	0	0	1	obscene
کوه موش زایید 😂	1	0	0	hate
مگا استار فقد خودت	0	0	0	clean
کیرر 😍 عه ببخشید تیر ❤️	0	0	1	obscene
دمت گرم همینجوری جلو بری میبرنت پورن هاب	0	0	1	obscene
ویدیو های سکسی پیج ما را از دست ندین 😜 😍 💜	0	1	1	spamobscene
ولش کن خودتو اذیت نکن 🙌🏼	0	0	0	clean
سکسی ترینی ❤️ 😍	0	0	1	obscene
دیوث چقد خوشگل شده تو این عکس	0	0	1	obscene
خدا رو شکر که بیشتر مردم انفالو کردن بی بی سی	1	0	0	hate
زنده باد شرف وغیرت شیر 🦁 مرد وطنم اقاعلی دوستت داریم که دلسوزملتی وملتی که از مرفه ترین به زباله گردی مبدلمان کردخمینی سیک وخا ئنه ایی مفع	0	0	1	obscene
عشقی پسر تو پلنگ نا ارام جویبار	0	0	0	clean
حاجی چه خبر از حال مردم داری مرغ دلار چنده	0	0	0	clean
شوگر لوات 💜	0	1	1	spamobscene
شوگر بیادد 💞	0	1	1	spamobscene
شوگر ککویتی 💞	0	1	1	spamobscene
منم شوگر ددی 💞	0	1	1	spamobscene
شوگر ممیخوامم 💜	0	1	1	spamobscene
خیسم لنتی 💦 💦 💜	0	1	1	spamobscene
 شوگر مامی در ایران 💞	0	1	1	spamobscene
 شوگر ددی نبود؟؟ 💜 💜	0	1	1	spamobscene
لیسر ویس با دایرکت 💦 💜	0	1	1	spamobscene
شوگر مامی از ساری بیاد 💞	0	1	1	spamobscene
شوگر مامی 😢 ❤️ شوگر مامی 😢 ❤️ شوگر مامی 😢 ❤️	0	1	1	spamobscene
خانمایی اول صبحی هاتن بیان دایرکت عکسشو ببینن 💦 💦 💜	0	1	1	spamobscene
یکیو میخام ارزام بتونه کنه 💞 💞 💦	0	1	1	spamobscene
کیا دوس دارن با متاهل دوس بشن؟؟ 💦 💦 💜	0	1	1	spamobscene
کنیم 💜 💜 بیاد چچت دخمل 💦	0	1	1	spamobscene
یکیو بتونه ارزام کنه 💞 💞 💦	0	1	1	spamobscene
 شوگر پارتنر مجازی لارج نبود؟ 💞	0	1	1	spamobscene
دختر خانم و مریض برا معاینه بیاد 💞 💞 💦	0	1	1	spamobscene
 شدیی دییگه شوگر ددیی شدیی رفت 💜 👅	0	1	1	spamobscene
زن متااهل که شوهرش کااره حوصلش سر رفته بیااد 💞 💞 💦	0	1	1	spamobscene
خیس شرتمم شده 💜 💦	0	1	1	spamobscene
هرکی نتش وصله بیاد 😍 💦	0	1	1	spamobscene
همیشه بهترینی 💎 💙 🌀 💦 💎 💙 🌀 💦 💎 💙 🌀 💦 💎 💙 🌀 💦 💎 💙 🌀 💦 💎 💙 🌀 💦 💎 💙 🌀 💦 💎 💙 🌀 💦 💎 💙 🌀 💦	0	0	1	obscene
بچه ها ایدی شماره یه شوگر و میدید 💞	0	1	1	spamobscene
یه سن بالا اراکی هم بما 💦 ⁦ 💦 ⁩⁩ 💞	0	1	1	spamobscene
ییکیی تابحال درست حسابیی نکرده منو 💜 💦	0	1	1	spamobscene
دداستانی 	0	1	1	spamobscene
فیلم سوپر مادرش تو پیجمه سریع بیایی پست اخر تا پاک نشده	0	1	1	spamobscene
سری دنباال اهنگ هاای خفن و پر اانرژی براای سیستم مااشینت یاا ورزش کردنی به کااناال مااهم یه ااگه بزن	0	1	1	spamobscene
اقای روحانی شرع کیلویی چنده	0	0	0	clean
عزیز دلم تولدت مبارک مرسی که بعضی اوقات بازارمون خرابه کمکمون کردی و باعث شادی خانوادم شدی مرسی بابت همه محبت هات امیدوارم هرسال تولدت کنارت باشیم و به شادی جشن بگیریم سالگیت مبارک ❤️ ❤️ ❤️ ❤️ ❤️ ❤️	0	0	0	clean
 یه سر به اینجا بزن یکم حال کنی 😈 🤤 💦 💦 😅	0	1	1	spamobscene
دمت گرم دادا تعصبتو شرفتو ایول 🔥 🖕🏼	0	0	1	obscene
سکسیه من	0	0	1	obscene
عکس سکسیه اینم	0	0	1	obscene
جوون چقد سکسیه صد تومن میدم	0	0	1	obscene
الانم عکست سکسیه فقط شطرنجی شده 😂 😂	0	0	1	obscene
اخه تو سکسیه خودمی جیرجیرک تو لخت بشیو بگی علی بزن بیاد یکیه	0	0	1	obscene
کلا نگاه شون به زندگی سکسیه	0	0	1	obscene
کی به این گفته لباش اینجوری باز باشه خیلی سکسیه	0	0	1	obscene
😷 🧵 کاملا سکسیه فقط چشم بصیرت میخواد 🧵 😂 😷	0	0	1	obscene
خیلیم سکسیه 😂	0	0	1	obscene
لای رونتو بخورم چته عشقم	0	0	1	obscene
فقط بانو الکسیس خودم طرفدارتم	0	0	1	obscene
حال تضمینی	0	1	1	spamobscene
جگرت را بخورم	0	0	1	obscene
خانما دوس دارید بخورم براتون	0	1	1	spamobscene
جون بخورم کوصتو	0	0	1	obscene
جوون بخورم تورو	0	0	1	obscene
هیچوقت از رپ خوشم نمیومد و فقط سوز صدای هایده و معین اروومم میکرد اما الان حاضرم قسم بخورم محبوب ترین و معروفترین ارتیست ایرانی در تمام ادوار تاریخ ایران هستی ؛ بزرگ مررد	0	0	1	obscene
لباتو بخورم	0	0	1	obscene
بخورم اون ساق رو	0	0	1	obscene
میتونم این می می هارو بخورم	0	0	1	obscene
جگرتو خام خام بخورم عمو رضاعشقی 	0	0	1	obscene
کیم کارداشیان کیه که من بهش غبطه بخورم درحالیکه میدونم شهرتش از کجاست؟ یا به خواهرش غبطه بخورم که هرگز مهر پدری رو تجربه نکرده و الانم پدرش با تغییر جنسیت؛ تبدیل شده به یک مادر که از همونم خیری ندیده	0	0	1	obscene
تهش جاوید بمیره مستحق فوشید بقران	0	0	0	clean
امنه امنه 😂 😂	0	0	0	clean
چرا جنگ داعش نرفتین جهاد نکاح؟	1	0	1	hateobscene
رهبرمون گفته سگ ب مملکت راه ندیم	1	0	0	hate
ممه لریمی کیم ییر	0	0	1	obscene
بهترین روش وپزشک جهت ترمیم بکارت	0	1	1	spamobscene
دمت گرم پهلون پلنگ مازندران	0	0	0	clean
تو هزار لایک خوردی نوشتی به قولی سکسی بود هزارتا لایک میخورد	0	0	1	obscene
پریود شدنت مبارک 🙌 🙌	0	0	1	obscene
خیلی خففنهه برابر جذاب تر و گنگ تر از موزیک گل تخمی تهی	0	0	1	obscene
اگه عکس سکسی بود هزارتا لایک میخورد 😂 😂	0	0	1	obscene
عزیزم عکس تو از سکسی هم قشنگ تره	0	0	1	obscene
ممه های پسره مو مشکی رو فقط 😢 😂	0	0	1	obscene
ای جونم سکسی 🔥 🔥	0	0	1	obscene
خوب عیبی نداره فداتشم عکس سکسی هم بزار 😂	0	0	1	obscene
😂 😂 مبارک باشه صاحب اول اخرش خودتی پلاک نمیشه تو ایران تخمی	0	0	1	obscene
دردت بجونم بوس رو دستهای مهربونت 😘 😘 😍 😍 ❤ ❤ 👑 ❤ ❤ زیباترین دختر دنیا 🌷 🌷	0	0	0	clean
ببخشیدتوخداشرمنده ولی نگم یجورایی ککهیرمیزنم این معلوم خیلی علاقه به خوردوخوراکک داره خوب میخوره لب ودهنش خیلی خوب اینککارامیککنیدمیبرند جرتون میدندروی تخت فقط بدردلذت جنسی میخوره بایداینومیگفتم 🙌 🙌 🔥	0	1	1	spamobscene
منظور اربابت سعودی نشناله یا بی بی سی	1	0	0	hate
ایول دادا بخون جرش بده	0	0	1	obscene
فدات بشم خوشگل عمه 😇 👸🏻 🧿 💙 🕋 🤲	0	0	0	clean
پلنگ نا ارام جویبار عشقی عشق	0	0	0	clean
عشقی عشق همیشه سربلند باشی پلنگ مازندران	0	0	0	clean
الهی سایتون بالا سر دخترت باشه هزار سال و خدا نگهت داره برات خانوادت بهترین بازیگر که همیشه با لبخند یادتون هستیم تنت سلامت بزرگ مرد	0	0	0	clean
حالا یه بوس بده ببینم نرمیت چطوره	0	0	1	obscene
یه کمم باسه من بخر بخورم	0	0	1	obscene
ماشاءالله واقعا پلنگ مازندرانی ایول دمت گرم شدی تموم دلخوشی 👏 👏 ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ 😍 😍	0	0	0	clean
 پلنگ مازندان انشالله همیشه موفق باشی افتخار ایرانی ❤️ ❤️ 🌹	0	0	0	clean
تبریک داداشواقعا پلنگ جویبار برازندته 💪 💪 زنده باشی خدا قوت پهلوان	0	0	0	clean
🌊 💙 🌊 💙 🌊 💙 🌊 💙 👑 😍 👌 🧿 ❤ هزاران ارزوی زیبا از طرف خداوند برایتون بهترینها را ارزومندم 🤲 🕋 🤲 🌊 🥰 👑 🧿 🤴 🧿 👑 🥰 🌊 ❤ ❤ 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 💗 💎 🌼 🌼 ❤️ ❤️ ❤️ ❤️ 🌊 🌊 🥰 🥰 💚 💚 💦 💦 🌺 🌺 👑 👑	0	1	0	spam
😘 😘 😘 😘 😘 😘 ذاتت قشنگه کاکاجانیم دوستون دارم دس بوس 😘 😘	0	1	0	spam
شیر مادرت حلالت یوز پلنگ	0	0	0	clean
شیر مادرت حلالت پلنگ جویبار	0	0	0	clean
واقعا لقب پلنگ جویبار برازندته شیر مادرت حلالت	0	0	0	clean
پلنگ خودتی بقیه اداتو در میارن مرسی که هستی 😘 😘 😍 😍 💪 💪	0	0	0	clean
سرت سلامت پهلوون فدای سرت انشاالله در دور بعد مدال طلای تو رو ببینیم ❤️ ❤️ ❤️ عشقی قهرمان پلنگ جویبار ❤️	0	0	0	clean
درود و عرض تبریک خانواده محترم گرامی فراهانی تبریک زاد روز نازنین دختر شیدا و ماه بوس ب گونه این گل خوشبو گل شیفته جان نازنینم تبریک عرض میکنم گلم 🎉 🎵 🎊 🎶 🌹	0	0	0	clean
شیر مادرت حلالت یوز پلنگ ایران 👏 👏 😚 😚	0	0	0	clean
ماشالله پلنگ مازندران شیر مادرت حلالت عالی بودی پهلوون	0	0	0	clean
الهی ماشالله فوق‌العاده زیبای خوشگلین جذابی عروسکی محشری ماشالله الهی فداتون بشم عزیزم یک دونه ای تمام ماشالله 🙏 👏 🔥 💯 💥 👑 💋 🥰 💋 👌 🍑	0	0	0	clean
زنده باد پهلوان با غیرت ایرانی و جویباری تو باعث افتخار و غرور همه ی ما هستی خدا قوت پلنگ جویبار 👏 👏 ❤️ ❤️	0	0	0	clean
کامنت های زیبای اینستاگرامی ❤ 💘 💓 💔 💕 💖 💗 💞 💝 💜 💛 💚 💙 💟 ❣ 🖤 💦 💫	0	1	0	spam
سلام بهنوش جونم خیلی عشقی دوست دارم بوس 😍 😍 👏 👏 😙 😙 ❤️ ❤️ ❤️ ❤️ ❤️ 👌 👌 😗 😗 😙 😙 😘 😘 😊 😊 😃 😃 😄 😄 🤗 🤗 🌹 🌹	0	0	0	clean
امیدکه یزدان پاک ودانا استاد شهریار موسیقی ملی ایران را که دانای همه بزرگان سرزمین کورش کبیرشاه ایران اهورمزدای که بزرگان راهمای سعادت ایرانیان خاصه ارام دلهای ایران راشادی سزدکه ارزوی ❤️ استادپدربزرگوارومحبت دل خواهد 🙏 🌹 🙏 🤲 🙏 😘 💋 😍 🌹 🌿 🍁 🌾 💦 💦 🎸 🎶 🪴 🎶 🌺 🎶 🌷 🎶 🌸 🎶 🪷 🎶 🥀 🥀 🎶 💛 💫 💛 🎼 🌾 🌹 🌹 🌷 🌷 🌺 🌺 🥀 🥀 وبرای خانواده محترم واستاد همایون امید ❤️ ایرانیانست 🌞 ازیزدان پاک تندرستی وعاقبت بخیری 🙏 🤲 🙏 😘 💋 😍 🌹	0	1	0	spam
شهرام عزیزم کامنت زیبا بود بدوستان ارسال کردم 🙏 🤲 🙏 😘 💋 😍 🌹 🌿 🍁 🌾 💦 💦 🎸 🎶 🪴 🎶 🌺 🎶 🌷 🎶 🌸 🎶 🪷 🎶 🌻 🎶 🥀 🥀 🎶 💛 💫 💛 🎼 ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️ ✌️	0	1	0	spam
تبرییک پلنگ مازندران شما افتخار ملت ایران هستی درود به غیرت و شرفت 💪 💪 ❤️ ❤️ ❤️ 👑 👑 💎 💎 🌹 🌹 😍 😍	0	0	0	clean
ماشالا ب یله جویبار ماشالا ب پلنگ مازندران ماشالا ب غیرتت ماشالا ب اوباهت و قلب مهربونت ک در اوج قدرت و قهرمانی مرام پهلوانیت مثال زدنیه شیر مادرت حلالت حسن اقا خسته نباشی دلاوره خسته نباشی پلنگ ایران پرچمت بالاست ب مولا مایه افتخاره همه ایرانیانی شما ❤ ❤ 🇮🇷 🇮🇷 🇮🇷 🇮🇷 🇮🇷 🇮🇷 🇮🇷 🇮🇷 🇮🇷 🇮🇷 🇮🇷 🇮🇷 ❤ ❤	0	0	0	clean
شما مین عوض می خوام تا شونم کاربت نکرده قوز میخوای از مردم شریف ایران نشان گرم ایرانیان اما کار بد نکردن شما بخواهیم رفتی مثل مرد نیست شعر کس دادن ❤️ ❤️ ❤️ ❤️ 😍 😍 🙌 🙌 🔥 💝 💝 💔 🖤 🖤 🤎 ❣ 💟 💜 💙 💙 💚 💛 🧡 ❤ 💯 💥 💫 💔 ❣ 💟 💙 💙 💚 💛 💛 💋 💋 💗 💗 🧡 🧡 🤎 🖤 💔 💔 ❣ 💯 💯 👈 👉 🖐 🖐 💯 💯 🤍 🤍 🖤 🖤 🗨 🤍 💙	0	0	1	obscene
درود به شرفت شیر مادرت حلالت حسن جان پلنگ جلوت کم میاره ماشالله بهت ❤️ ❤️ ❤️ ❤️ 🌹 🌹 👌 👌 👏 👏 🇮🇷 🇮🇷 🇮🇷 🇮🇷	0	0	0	clean
خدا قوت پهلوان دمت گرم ابروی کشتی ایران بهت افتخار میکنیم پاینده باشی و مانا پلنگ جویبار ❤ ✌ ✌ 💪 💪 👏 👏 🙏	0	0	0	clean
غرش پلنگ مازندران در پاریس خسته نباشی دلاور خدا قوت پهلوان واقعا دمت گرم که دل یه ملتو شاد کردی انصافا از دیدن کشتی ت کلی لذت بردم	0	0	0	clean
ارواح عمه اش	1	0	0	hate
عکس از لحظه کتک خوردنت هم میذاشتی سلبریدی حکومتی	1	0	0	hate
خفه شو زنیکه بی بوته	1	0	0	hate
نوش جونت کتک خوردنت مونده بموقعش مزدور بدبخت	1	0	0	hate
کاش فیلم کتک خوردنت از مردمم میزاشتی	1	0	0	hate
عکس کتک خوردنت و‌بیرپن انداختنت هم‌میزاشتی	1	0	0	hate
فیلم کتک خوردنت بزار دور هم شاد بشیم 😂	1	0	0	hate
خاک بر سرت پلنگ صورتی ابرو تمام خوانندها رو میبری افتاپ پرست	1	0	0	hate
این زنیکه چقدر زشت خبیثه حال بهم زنه 🤢 🤢	1	0	0	hate
 چقد چاق و زشت شده بدنت	1	0	0	hate
ای کاش فیلم کتک خوردنت رو میزاشتی	1	0	0	hate
چرا پست جدید کتک خوردنت رو نمیذاری پشمک 😂 😂 اینستا پر شده از فیلمات	1	0	0	hate
مرگ مهسارو تسلیت میگم به همه دخترای قوی زنای قوی 🖤 🖤 جواب ما مظلومارو خدامیده لعنت به ظالمین	1	0	0	hate
زنیکه فضول	1	0	0	hate
کتک خوردنت ملسه 😂 😂	1	0	0	hate
از کتک خوردنت پست بذار	1	0	0	hate
از کتک خوردنت فیلم بذار دورو 	1	0	0	hate
از کتک خوردنت هم بزار خانم افشار	1	0	0	hate
جریان کتک خوردنت رو نمیخوای بگی؟	1	0	0	hate
چرا از کتک خوردنت پست نذاشتی 😂 😂	1	0	0	hate
کتک خوردنت رو دیدیم 😂 دلمون خنک شد	1	0	0	hate
